Track,Point,X,Y
3D_Seismic,1,683651.7024041545,385172.6935310923
3D_Seismic,2,693383.7175493625,385389.92551905185
3D_Seismic,3,693294.7334846267,399728.84570396756
3D_Seismic,4,683238.6906607156,399517.2727635677
3D_Seismic,5,683651.7024041545,385172.6935310923
